REF_DATE,GEO,"Highest certificate, diploma or degree (16)",Major field of study - Classification of Instructional Programs (CIP) 2021 (14),Employment income statistics (7),VALUE
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Employment income statistics,30335920.0
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Median employment income ($),37200.0
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Average employment income ($),50280.0
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,"Median wages, salaries and commissions ($)",40000.0
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,"Average wages, salaries and commissions ($)",51950.0
2021,Canada,"Total - Highest certificate, diploma or degree","No postsecondary certificate, diploma or degree",Total - Employment income statistics,12996875.0
2021,Canada,"Total - Highest certificate, diploma or degree","No postsecondary certificate, diploma or degree",Median employment income ($),22200.0
2021,Canada,"Total - Highest certificate, diploma or degree","No postsecondary certificate, diploma or degree",Average employment income ($),33040.0
2021,Canada,"Total - Highest certificate, diploma or degree","No postsecondary certificate, diploma or degree","Median wages, salaries and commissions ($)",24200.0
2021,Canada,"Total - Highest certificate, diploma or degree","No postsecondary certificate, diploma or degree","Average wages, salaries and commissions ($)",34320.0
2021,Canada,"Total - Highest certificate, diploma or degree",Education,Total - Employment income statistics,1113020.0
2021,Canada,"Total - Highest certificate, diploma or degree",Education,Median employment income ($),53600.0
2021,Canada,"Total - Highest certificate, diploma or degree",Education,Average employment income ($),55650.0
2021,Canada,"Total - Highest certificate, diploma or degree",Education,"Median wages, salaries and commissions ($)",57200.0
2021,Canada,"Total - Highest certificate, diploma or degree",Education,"Average wages, salaries and commissions ($)",57900.0
2021,Canada,"Total - Highest certificate, diploma or degree","Visual and performing arts, and communications technologies",Total - Employment income statistics,631255.0
2021,Canada,"Total - Highest certificate, diploma or degree","Visual and performing arts, and communications technologies",Median employment income ($),30800.0
2021,Canada,"Total - Highest certificate, diploma or degree","Visual and performing arts, and communications technologies",Average employment income ($),40480.0
2021,Canada,"Total - Highest certificate, diploma or degree","Visual and performing arts, and communications technologies","Median wages, salaries and commissions ($)",34800.0
2021,Canada,"Total - Highest certificate, diploma or degree","Visual and performing arts, and communications technologies","Average wages, salaries and commissions ($)",43240.0
2021,Canada,"Total - Highest certificate, diploma or degree",Humanities,Total - Employment income statistics,926560.0
2021,Canada,"Total - Highest certificate, diploma or degree",Humanities,Median employment income ($),36800.0
2021,Canada,"Total - Highest certificate, diploma or degree",Humanities,Average employment income ($),48640.0
2021,Canada,"Total - Highest certificate, diploma or degree",Humanities,"Median wages, salaries and commissions ($)",40000.0
2021,Canada,"Total - Highest certificate, diploma or degree",Humanities,"Average wages, salaries and commissions ($)",50560.0
2021,Canada,"Total - Highest certificate, diploma or degree",Social and behavioural sciences and law,Total - Employment income statistics,2016125.0
2021,Canada,"Total - Highest certificate, diploma or degree",Social and behavioural sciences and law,Median employment income ($),44800.0
2021,Canada,"Total - Highest certificate, diploma or degree",Social and behavioural sciences and law,Average employment income ($),60600.0
2021,Canada,"Total - Highest certificate, diploma or degree",Social and behavioural sciences and law,"Median wages, salaries and commissions ($)",46800.0
2021,Canada,"Total - Highest certificate, diploma or degree",Social and behavioural sciences and law,"Average wages, salaries and commissions ($)",60650.0
2021,Canada,"Total - Highest certificate, diploma or degree","Business, management and public administration",Total - Employment income statistics,3758250.0
2021,Canada,"Total - Highest certificate, diploma or degree","Business, management and public administration",Median employment income ($),48400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Business, management and public administration",Average employment income ($),66400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Business, management and public administration","Median wages, salaries and commissions ($)",50400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Business, management and public administration","Average wages, salaries and commissions ($)",68300.0
2021,Canada,"Total - Highest certificate, diploma or degree",Physical and life sciences and technologies,Total - Employment income statistics,719720.0
2021,Canada,"Total - Highest certificate, diploma or degree",Physical and life sciences and technologies,Median employment income ($),46400.0
2021,Canada,"Total - Highest certificate, diploma or degree",Physical and life sciences and technologies,Average employment income ($),60950.0
2021,Canada,"Total - Highest certificate, diploma or degree",Physical and life sciences and technologies,"Median wages, salaries and commissions ($)",49200.0
2021,Canada,"Total - Highest certificate, diploma or degree",Physical and life sciences and technologies,"Average wages, salaries and commissions ($)",62350.0
2021,Canada,"Total - Highest certificate, diploma or degree","Mathematics, computer and information sciences",Total - Employment income statistics,804230.0
2021,Canada,"Total - Highest certificate, diploma or degree","Mathematics, computer and information sciences",Median employment income ($),59200.0
2021,Canada,"Total - Highest certificate, diploma or degree","Mathematics, computer and information sciences",Average employment income ($),70300.0
2021,Canada,"Total - Highest certificate, diploma or degree","Mathematics, computer and information sciences","Median wages, salaries and commissions ($)",61600.0
2021,Canada,"Total - Highest certificate, diploma or degree","Mathematics, computer and information sciences","Average wages, salaries and commissions ($)",72600.0
2021,Canada,"Total - Highest certificate, diploma or degree","Architecture, engineering, and related trades",Total - Employment income statistics,3506120.0
2021,Canada,"Total - Highest certificate, diploma or degree","Architecture, engineering, and related trades",Median employment income ($),56400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Architecture, engineering, and related trades",Average employment income ($),65800.0
2021,Canada,"Total - Highest certificate, diploma or degree","Architecture, engineering, and related trades","Median wages, salaries and commissions ($)",59200.0
2021,Canada,"Total - Highest certificate, diploma or degree","Architecture, engineering, and related trades","Average wages, salaries and commissions ($)",68600.0
2021,Canada,"Total - Highest certificate, diploma or degree","Agriculture, natural resources and conservation",Total - Employment income statistics,407540.0
2021,Canada,"Total - Highest certificate, diploma or degree","Agriculture, natural resources and conservation",Median employment income ($),42400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Agriculture, natural resources and conservation",Average employment income ($),51600.0
2021,Canada,"Total - Highest certificate, diploma or degree","Agriculture, natural resources and conservation","Median wages, salaries and commissions ($)",46000.0
2021,Canada,"Total - Highest certificate, diploma or degree","Agriculture, natural resources and conservation","Average wages, salaries and commissions ($)",54650.0
2021,Canada,"Total - Highest certificate, diploma or degree",Health and related fields,Total - Employment income statistics,2444500.0
2021,Canada,"Total - Highest certificate, diploma or degree",Health and related fields,Median employment income ($),46000.0
2021,Canada,"Total - Highest certificate, diploma or degree",Health and related fields,Average employment income ($),56000.0
2021,Canada,"Total - Highest certificate, diploma or degree",Health and related fields,"Median wages, salaries and commissions ($)",47200.0
2021,Canada,"Total - Highest certificate, diploma or degree",Health and related fields,"Average wages, salaries and commissions ($)",55250.0
2021,Canada,"Total - Highest certificate, diploma or degree","Personal, protective and transportation services",Total - Employment income statistics,1006425.0
2021,Canada,"Total - Highest certificate, diploma or degree","Personal, protective and transportation services",Median employment income ($),34400.0
2021,Canada,"Total - Highest certificate, diploma or degree","Personal, protective and transportation services",Average employment income ($),44360.0
2021,Canada,"Total - Highest certificate, diploma or degree","Personal, protective and transportation services","Median wages, salaries and commissions ($)",38000.0
2021,Canada,"Total - Highest certificate, diploma or degree","Personal, protective and transportation services","Average wages, salaries and commissions ($)",47400.0
2021,Canada,"Total - Highest certificate, diploma or degree",Other,Total - Employment income statistics,5300.0
2021,Canada,"Total - Highest certificate, diploma or degree",Other,Median employment income ($),42400.0
2021,Canada,"Total - Highest certificate, diploma or degree",Other,Average employment income ($),50080.0
2021,Canada,"Total - Highest certificate, diploma or degree",Other,"Median wages, salaries and commissions ($)",43600.0
2021,Canada,"Total - Highest certificate, diploma or degree",Other,"Average wages, salaries and commissions ($)",50880.0
2021,Canada,"No certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Employment income statistics,4899580.0
2021,Canada,"No certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Median employment income ($),15600.0
2021,Canada,"No certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,Average employment income ($),26880.0
2021,Canada,"No certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,"Median wages, salaries and commissions ($)",17200.0
2021,Canada,"No certificate, diploma or degree",Total - Major field of study - Classification of Instructional Programs (CIP) 2021,"Average wages, salaries and commissions ($)",28080.0
2021,Canada,"No certificate, diploma or degree","No postsecondary certificate, diploma or degree",Total - Employment income statistics,4899580.0
2021,Canada,"No certificate, diploma or degree","No postsecondary certificate, diploma or degree",Median employment income ($),15600.0
2021,Canada,"No certificate, diploma or degree","No postsecondary certificate, diploma or degree",Average employment income ($),26880.0
2021,Canada,"No certificate, diploma or degree","No postsecondary certificate, diploma or degree","Median wages, salaries and commissions ($)",17200.0
2021,Canada,"No certificate, diploma or degree","No postsecondary certificate, diploma or degree","Average wages, salaries and commissions ($)",28080.0
2021,Canada,"No certificate, diploma or degree",Education,Median employment income ($),0.0
2021,Canada,"No certificate, diploma or degree",Education,Average employment income ($),0.0
2021,Canada,"No certificate, diploma or degree",Education,"Median wages, salaries and commissions ($)",0.0
2021,Canada,"No certificate, diploma or degree",Education,"Average wages, salaries and commissions ($)",0.0
