REF_DATE,GEO,Field of study,VALUE
2019/2020,Canada,"Total, field of study",7186.0
2020/2021,Canada,"Total, field of study",7361.0
2021/2022,Canada,"Total, field of study",7315.0
2022/2023,Canada,"Total, field of study",7409.0
2023/2024,Canada,"Total, field of study",7573.0
2019/2020,Canada,Education,6423.0
2020/2021,Canada,Education,6523.0
2021/2022,Canada,Education,6640.0
2022/2023,Canada,Education,6844.0
2023/2024,Canada,Education,6957.0
2019/2020,Canada,"Visual and performing arts, and communications technologies",5263.0
2020/2021,Canada,"Visual and performing arts, and communications technologies",5506.0
2021/2022,Canada,"Visual and performing arts, and communications technologies",5588.0
2022/2023,Canada,"Visual and performing arts, and communications technologies",5683.0
2023/2024,Canada,"Visual and performing arts, and communications technologies",5783.0
2019/2020,Canada,Humanities,4881.0
2020/2021,Canada,Humanities,4678.0
2021/2022,Canada,Humanities,4817.0
2022/2023,Canada,Humanities,4899.0
2023/2024,Canada,Humanities,4994.0
2019/2020,Canada,"Social and behavioural sciences, and legal studies ",5801.0
2020/2021,Canada,"Social and behavioural sciences, and legal studies ",6008.0
2021/2022,Canada,"Social and behavioural sciences, and legal studies ",6006.0
2022/2023,Canada,"Social and behavioural sciences, and legal studies ",6135.0
2023/2024,Canada,"Social and behavioural sciences, and legal studies ",6277.0
2019/2020,Canada,Law,6036.0
2020/2021,Canada,Law,6087.0
2021/2022,Canada,Law,6499.0
2022/2023,Canada,Law,6129.0
2023/2024,Canada,Law,6227.0
2019/2020,Canada,"Business, management and public administration",13145.0
2020/2021,Canada,"Business, management and public administration",14052.0
2021/2022,Canada,"Business, management and public administration",14630.0
2022/2023,Canada,"Business, management and public administration",13903.0
2023/2024,Canada,"Business, management and public administration",14293.0
2019/2020,Canada,Executive MBA,50459.0
2020/2021,Canada,Executive MBA,51005.0
2021/2022,Canada,Executive MBA,52101.0
2022/2023,Canada,Executive MBA,44815.0
2023/2024,Canada,Executive MBA,45596.0
2019/2020,Canada,Regular MBA,29028.0
2020/2021,Canada,Regular MBA,29065.0
2021/2022,Canada,Regular MBA,29544.0
2022/2023,Canada,Regular MBA,30070.0
2023/2024,Canada,Regular MBA,31028.0
2019/2020,Canada,Physical and life sciences and technologies,6741.0
2020/2021,Canada,Physical and life sciences and technologies,6740.0
2021/2022,Canada,Physical and life sciences and technologies,6828.0
2022/2023,Canada,Physical and life sciences and technologies,6936.0
2023/2024,Canada,Physical and life sciences and technologies,7052.0
2019/2020,Canada,"Mathematics, computer and information sciences",8395.0
2020/2021,Canada,"Mathematics, computer and information sciences",8562.0
2021/2022,Canada,"Mathematics, computer and information sciences",8702.0
2022/2023,Canada,"Mathematics, computer and information sciences",8988.0
2023/2024,Canada,"Mathematics, computer and information sciences",9169.0
2019/2020,Canada,Engineering,6990.0
2020/2021,Canada,Engineering,7037.0
2021/2022,Canada,Engineering,7243.0
2022/2023,Canada,Engineering,7519.0
2023/2024,Canada,Engineering,7696.0
2019/2020,Canada,Architecture,6742.0
2020/2021,Canada,Architecture,6349.0
2021/2022,Canada,Architecture,6533.0
2022/2023,Canada,Architecture,6676.0
2023/2024,Canada,Architecture,6886.0
2019/2020,Canada,"Agriculture, natural resources and conservation",5938.0
2020/2021,Canada,"Agriculture, natural resources and conservation",5896.0
2021/2022,Canada,"Agriculture, natural resources and conservation",5892.0
2022/2023,Canada,"Agriculture, natural resources and conservation",6368.0
2023/2024,Canada,"Agriculture, natural resources and conservation",6512.0
2019/2020,Canada,Dentistry,13002.0
2020/2021,Canada,Dentistry,12995.0
2021/2022,Canada,Dentistry,13112.0
2022/2023,Canada,Dentistry,13171.0
2023/2024,Canada,Dentistry,13282.0
2019/2020,Canada,Nursing,6328.0
2020/2021,Canada,Nursing,6532.0
2021/2022,Canada,Nursing,6777.0
2022/2023,Canada,Nursing,6807.0
