REF_DATE,GEO,"Highest certificate, diploma or degree (16)",Labour force status (8),VALUE
2021,Canada,"Total - Highest certificate, diploma or degree",Total - Labour force status,30335915.0
2021,Canada,"Total - Highest certificate, diploma or degree",In the labour force,19310340.0
2021,Canada,"Total - Highest certificate, diploma or degree",Employed,17321700.0
2021,Canada,"Total - Highest certificate, diploma or degree",Unemployed,1988645.0
2021,Canada,"Total - Highest certificate, diploma or degree",Not in the labour force,11025575.0
2021,Canada,"Total - Highest certificate, diploma or degree",Participation rate,63.7
2021,Canada,"Total - Highest certificate, diploma or degree",Employment rate,57.1
2021,Canada,"Total - Highest certificate, diploma or degree",Unemployment rate,10.3
2021,Canada,"No certificate, diploma or degree",Total - Labour force status,4899580.0
2021,Canada,"No certificate, diploma or degree",In the labour force,1776575.0
2021,Canada,"No certificate, diploma or degree",Employed,1477990.0
2021,Canada,"No certificate, diploma or degree",Unemployed,298590.0
2021,Canada,"No certificate, diploma or degree",Not in the labour force,3123000.0
2021,Canada,"No certificate, diploma or degree",Participation rate,36.3
2021,Canada,"No certificate, diploma or degree",Employment rate,30.2
2021,Canada,"No certificate, diploma or degree",Unemployment rate,16.8
2021,Canada,High (secondary) school diploma or equivalency certificate,Total - Labour force status,8097295.0
2021,Canada,High (secondary) school diploma or equivalency certificate,In the labour force,4814115.0
2021,Canada,High (secondary) school diploma or equivalency certificate,Employed,4124800.0
2021,Canada,High (secondary) school diploma or equivalency certificate,Unemployed,689310.0
2021,Canada,High (secondary) school diploma or equivalency certificate,Not in the labour force,3283180.0
2021,Canada,High (secondary) school diploma or equivalency certificate,Participation rate,59.5
2021,Canada,High (secondary) school diploma or equivalency certificate,Employment rate,50.9
2021,Canada,High (secondary) school diploma or equivalency certificate,Unemployment rate,14.3
2021,Canada,"Postsecondary certificate, diploma or degree",Total - Labour force status,17339045.0
2021,Canada,"Postsecondary certificate, diploma or degree",In the labour force,12719650.0
2021,Canada,"Postsecondary certificate, diploma or degree",Employed,11718910.0
2021,Canada,"Postsecondary certificate, diploma or degree",Unemployed,1000740.0
2021,Canada,"Postsecondary certificate, diploma or degree",Not in the labour force,4619390.0
2021,Canada,"Postsecondary certificate, diploma or degree",Participation rate,73.4
2021,Canada,"Postsecondary certificate, diploma or degree",Employment rate,67.6
2021,Canada,"Postsecondary certificate, diploma or degree",Unemployment rate,7.9
