REF_DATE,GEO,Educational qualification,Field of study,Characteristics after graduation,VALUE
2011,Canada,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,45100.0
2011,Canada,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,49300.0
2011,Canada,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,56200.0
2011,Canada,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,37700.0
2011,Canada,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,38400.0
2011,Canada,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,46400.0
2011,Canada,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,33000.0
2011,Canada,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,39500.0
2011,Canada,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,44100.0
2011,Canada,"Career, technical or professional training diploma",Humanities [3],Graduates reporting employment income,33600.0
2011,Canada,"Career, technical or professional training diploma",Humanities [3],Graduates reporting employment income,42600.0
2011,Canada,"Career, technical or professional training diploma",Humanities [3],Graduates reporting employment income,44200.0
2011,Canada,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,37800.0
2011,Canada,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,39100.0
2011,Canada,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,41600.0
2011,Canada,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,40400.0
2011,Canada,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,45100.0
2011,Canada,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,50800.0
2011,Canada,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,44800.0
2011,Canada,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,47200.0
2011,Canada,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,56300.0
2011,Canada,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,44000.0
2011,Canada,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,50900.0
2011,Canada,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,58900.0
2011,Canada,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,59400.0
2011,Canada,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,67300.0
2011,Canada,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,78300.0
2011,Canada,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,41700.0
2011,Canada,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,47100.0
2011,Canada,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,52300.0
2011,Canada,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,51100.0
2011,Canada,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,52600.0
2011,Canada,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,58000.0
2011,Canada,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,42600.0
2011,Canada,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,52600.0
2011,Canada,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,65900.0
2011,Canada,"Career, technical or professional training diploma",Other instructional programs [12],Graduates reporting employment income,51000.0
2011,Canada,"Career, technical or professional training diploma",Other instructional programs [12],Graduates reporting employment income,56500.0
