REF_DATE,GEO,Field of study,VALUE
2019/2020,Canada,"Total, field of study",6468.0
2020/2021,Canada,"Total, field of study",6580.0
2021/2022,Canada,"Total, field of study",6660.0
2022/2023,Canada,"Total, field of study",6872.0
2023/2024,Canada,"Total, field of study",7076.0
2019/2020,Canada,Education,4648.0
2020/2021,Canada,Education,4801.0
2021/2022,Canada,Education,5013.0
2022/2023,Canada,Education,5191.0
2023/2024,Canada,Education,5358.0
2019/2020,Canada,"Visual and performing arts, and communications technologies",5789.0
2020/2021,Canada,"Visual and performing arts, and communications technologies",5843.0
2021/2022,Canada,"Visual and performing arts, and communications technologies",6009.0
2022/2023,Canada,"Visual and performing arts, and communications technologies",6152.0
2023/2024,Canada,"Visual and performing arts, and communications technologies",6312.0
2019/2020,Canada,Humanities,5486.0
2020/2021,Canada,Humanities,5635.0
2021/2022,Canada,Humanities,5737.0
2022/2023,Canada,Humanities,5914.0
2023/2024,Canada,Humanities,6080.0
2019/2020,Canada,"Social and behavioural sciences, and legal studies",5555.0
2020/2021,Canada,"Social and behavioural sciences, and legal studies",5639.0
2021/2022,Canada,"Social and behavioural sciences, and legal studies",5740.0
2022/2023,Canada,"Social and behavioural sciences, and legal studies",5885.0
2023/2024,Canada,"Social and behavioural sciences, and legal studies",6040.0
2019/2020,Canada,Law,12527.0
2020/2021,Canada,Law,12727.0
2021/2022,Canada,Law,12852.0
2022/2023,Canada,Law,13200.0
2023/2024,Canada,Law,13621.0
2019/2020,Canada,"Business, management and public administration",6795.0
2020/2021,Canada,"Business, management and public administration",6864.0
2021/2022,Canada,"Business, management and public administration",7045.0
2022/2023,Canada,"Business, management and public administration",7297.0
2023/2024,Canada,"Business, management and public administration",7571.0
2019/2020,Canada,Physical and life sciences and technologies,6068.0
2020/2021,Canada,Physical and life sciences and technologies,6149.0
2021/2022,Canada,Physical and life sciences and technologies,5860.0
2022/2023,Canada,Physical and life sciences and technologies,6005.0
2023/2024,Canada,Physical and life sciences and technologies,6167.0
2019/2020,Canada,"Mathematics, computer and information sciences",6814.0
2020/2021,Canada,"Mathematics, computer and information sciences",6861.0
2021/2022,Canada,"Mathematics, computer and information sciences",6876.0
2022/2023,Canada,"Mathematics, computer and information sciences",7074.0
2023/2024,Canada,"Mathematics, computer and information sciences",7278.0
2019/2020,Canada,Engineering,7949.0
2020/2021,Canada,Engineering,8067.0
2021/2022,Canada,Engineering,8257.0
2022/2023,Canada,Engineering,8618.0
2023/2024,Canada,Engineering,8879.0
2019/2020,Canada,Architecture,6470.0
2020/2021,Canada,Architecture,6462.0
2021/2022,Canada,Architecture,6599.0
2022/2023,Canada,Architecture,6743.0
2023/2024,Canada,Architecture,6927.0
2019/2020,Canada,"Agriculture, natural resources and conservation",5614.0
2020/2021,Canada,"Agriculture, natural resources and conservation",5693.0
2021/2022,Canada,"Agriculture, natural resources and conservation",5886.0
2022/2023,Canada,"Agriculture, natural resources and conservation",6033.0
2023/2024,Canada,"Agriculture, natural resources and conservation",6212.0
2019/2020,Canada,Dentistry,22242.0
2020/2021,Canada,Dentistry,22408.0
2021/2022,Canada,Dentistry,22920.0
2022/2023,Canada,Dentistry,24041.0
2023/2024,Canada,Dentistry,24838.0
2019/2020,Canada,Medicine,14201.0
2020/2021,Canada,Medicine,14321.0
2021/2022,Canada,Medicine,14627.0
2022/2023,Canada,Medicine,15190.0
2023/2024,Canada,Medicine,15558.0
2019/2020,Canada,Nursing,5583.0
2020/2021,Canada,Nursing,5685.0
2021/2022,Canada,Nursing,5826.0
2022/2023,Canada,Nursing,6018.0
2023/2024,Canada,Nursing,6182.0
2019/2020,Canada,Pharmacy,10931.0
2020/2021,Canada,Pharmacy,11154.0
2021/2022,Canada,Pharmacy,11351.0
2022/2023,Canada,Pharmacy,12207.0
2023/2024,Canada,Pharmacy,12566.0
2019/2020,Canada,Veterinary medicine,7852.0
2020/2021,Canada,Veterinary medicine,14162.0
2021/2022,Canada,Veterinary medicine,14284.0
2022/2023,Canada,Veterinary medicine,14977.0
2023/2024,Canada,Veterinary medicine,15532.0
2019/2020,Canada,Optometry,11203.0
2020/2021,Canada,Optometry,10687.0
2021/2022,Canada,Optometry,10357.0
2022/2023,Canada,Optometry,10340.0
2023/2024,Canada,Optometry,10598.0
2019/2020,Canada,"Other health, parks, recreation and fitness",5867.0
2020/2021,Canada,"Other health, parks, recreation and fitness",5993.0
2021/2022,Canada,"Other health, parks, recreation and fitness",6097.0
2022/2023,Canada,"Other health, parks, recreation and fitness",6221.0
2023/2024,Canada,"Other health, parks, recreation and fitness",6381.0
2019/2020,Canada,"Personal, protective and transportation services",5686.0
2020/2021,Canada,"Personal, protective and transportation services",5777.0
2021/2022,Canada,"Personal, protective and transportation services",5836.0
2022/2023,Canada,"Personal, protective and transportation services",6007.0
2023/2024,Canada,"Personal, protective and transportation services",6153.0
2019/2020,Newfoundland and Labrador,"Total, field of study",2975.0
2020/2021,Newfoundland and Labrador,"Total, field of study",3078.0
2021/2022,Newfoundland and Labrador,"Total, field of study",3025.0
2022/2023,Newfoundland and Labrador,"Total, field of study",3361.0
2023/2024,Newfoundland and Labrador,"Total, field of study",3481.0
2019/2020,Newfoundland and Labrador,Education,2659.0
2020/2021,Newfoundland and Labrador,Education,2691.0
2021/2022,Newfoundland and Labrador,Education,2708.0
2022/2023,Newfoundland and Labrador,Education,3143.0
2023/2024,Newfoundland and Labrador,Education,3273.0
2019/2020,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2718.0
2020/2021,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2708.0
2021/2022,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",2706.0
2022/2023,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3281.0
2023/2024,Newfoundland and Labrador,"Visual and performing arts, and communications technologies",3416.0
2019/2020,Newfoundland and Labrador,Humanities,2618.0
2020/2021,Newfoundland and Labrador,Humanities,2646.0
2021/2022,Newfoundland and Labrador,Humanities,2611.0
2022/2023,Newfoundland and Labrador,Humanities,2894.0
2023/2024,Newfoundland and Labrador,Humanities,3014.0
2019/2020,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2699.0
2020/2021,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2658.0
2021/2022,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",2642.0
2022/2023,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",3021.0
2023/2024,Newfoundland and Labrador,"Social and behavioural sciences, and legal studies",3145.0
2019/2020,Newfoundland and Labrador,"Business, management and public administration",2715.0
2020/2021,Newfoundland and Labrador,"Business, management and public administration",2695.0
2021/2022,Newfoundland and Labrador,"Business, management and public administration",2664.0
2022/2023,Newfoundland and Labrador,"Business, management and public administration",2969.0
2023/2024,Newfoundland and Labrador,"Business, management and public administration",3092.0
2019/2020,Newfoundland and Labrador,Physical and life sciences and technologies,2687.0
2020/2021,Newfoundland and Labrador,Physical and life sciences and technologies,2666.0
2021/2022,Newfoundland and Labrador,Physical and life sciences and technologies,2652.0
2022/2023,Newfoundland and Labrador,Physical and life sciences and technologies,3058.0
2023/2024,Newfoundland and Labrador,Physical and life sciences and technologies,3184.0
2019/2020,Newfoundland and Labrador,"Mathematics, computer and information sciences",2688.0
2020/2021,Newfoundland and Labrador,"Mathematics, computer and information sciences",2667.0
2021/2022,Newfoundland and Labrador,"Mathematics, computer and information sciences",2644.0
2022/2023,Newfoundland and Labrador,"Mathematics, computer and information sciences",3010.0
2023/2024,Newfoundland and Labrador,"Mathematics, computer and information sciences",3134.0
2019/2020,Newfoundland and Labrador,Engineering,2765.0
2020/2021,Newfoundland and Labrador,Engineering,2756.0
2021/2022,Newfoundland and Labrador,Engineering,2726.0
2022/2023,Newfoundland and Labrador,Engineering,3145.0
2023/2024,Newfoundland and Labrador,Engineering,3274.0
2019/2020,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2745.0
2020/2021,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2766.0
2021/2022,Newfoundland and Labrador,"Agriculture, natural resources and conservation",2800.0
2022/2023,Newfoundland and Labrador,"Agriculture, natural resources and conservation",3725.0
2023/2024,Newfoundland and Labrador,"Agriculture, natural resources and conservation",3876.0
2019/2020,Newfoundland and Labrador,Medicine,12250.0
2020/2021,Newfoundland and Labrador,Medicine,14250.0
2021/2022,Newfoundland and Labrador,Medicine,14250.0
2022/2023,Newfoundland and Labrador,Medicine,14250.0
2023/2024,Newfoundland and Labrador,Medicine,14250.0
2019/2020,Newfoundland and Labrador,Nursing,2626.0
2020/2021,Newfoundland and Labrador,Nursing,2616.0
2021/2022,Newfoundland and Labrador,Nursing,2607.0
2022/2023,Newfoundland and Labrador,Nursing,2866.0
2023/2024,Newfoundland and Labrador,Nursing,2985.0
2019/2020,Newfoundland and Labrador,Pharmacy,2870.0
2020/2021,Newfoundland and Labrador,Pharmacy,2839.0
2021/2022,Newfoundland and Labrador,Pharmacy,2824.0
2022/2023,Newfoundland and Labrador,Pharmacy,2650.0
2023/2024,Newfoundland and Labrador,Pharmacy,2760.0
2019/2020,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2682.0
2020/2021,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2629.0
2021/2022,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2618.0
2022/2023,Newfoundland and Labrador,"Other health, parks, recreation and fitness",2909.0
2023/2024,Newfoundland and Labrador,"Other health, parks, recreation and fitness",3029.0
2019/2020,Newfoundland and Labrador,"Personal, protective and transportation services",2603.0
